pubmed - coronavirus
year,count
2020,489
2019,672
2018,691
2017,691
2016,777
2015,784
2014,710
2013,555
2012,391
2011,370
2010,379
2009,402
2008,454
2007,477
2006,660
2005,712
2004,779
2003,620
2002,129
2001,225
2000,149
1999,141
1998,223
1997,162
1996,147
1995,251
1994,156
1993,221
1992,153
1991,172
1990,246
1989,155
1988,122
1987,207
1986,121
1985,119
1984,148
1983,107
1982,111
1981,146
1980,97
1979,74
1978,91
1977,72
1976,76
1975,65
1974,22
1973,21
1972,25
1971,16
1970,20
1969,14
1968,11
1967,18
1966,18
1965,24
1964,14
1963,6
1962,7
1961,4
1960,5
1959,6
1958,5
1957,6
1956,6
1955,3
1954,1
1953,1
1952,3
1951,6
1950,1
1949,1

